Wall time,Step,Value
1542187387.0663245,251,0.692609965801239
1542187423.0950131,918,0.6856509447097778
1542187439.4519138,1224,0.6827424764633179
1542187484.2703495,2041,0.6742978096008301
1542187489.2809365,2142,0.6734223961830139
1542187498.060538,2297,0.6718931198120117
1542187519.560183,2709,0.6680843830108643
1542187527.793319,2862,0.6663774847984314
1542187569.0610368,3640,0.6574036478996277
1542187577.387062,3795,0.6573373675346375
1542187629.3176825,4817,0.6458013653755188
1542187650.5736203,5223,0.6431781053543091
1542187659.5911813,5378,0.6414451003074646
1542187662.7913039,5428,0.6405493021011353
1542187682.8718603,5783,0.6355970501899719
1542187719.0767024,6452,0.6280896067619324
1542187755.8857021,7121,0.6204797029495239
1542187785.2804399,7688,0.6195407509803772
1542187799.8630168,7941,0.61638343334198
1542187808.6324553,8094,0.6190655827522278
1542187832.5276055,8558,0.6082014441490173
1542187835.2983146,8608,0.6062063574790955
1542187863.1072536,9123,0.6093156337738037
1542187877.1864371,9383,0.6015795469284058
1542187882.2954972,9486,0.6091926693916321
1542187885.0020874,9539,0.6058195233345032
1542187895.9564786,9744,0.5987758040428162
1542187918.4213195,10155,0.5958526134490967
1542187941.490206,10564,0.5882300138473511
1542187943.9702709,10616,0.588425874710083
1542187957.9707844,10872,0.5907100439071655
1542187987.8822722,11436,0.5923267006874084
1542188005.1915967,11744,0.5853717923164368
1542188019.288386,12002,0.5853180885314941
1542188062.01196,12773,0.5822632312774658
1542188079.1978273,13083,0.5619707107543945
1542188094.0800126,13343,0.5705739259719849
1542188113.1785798,13702,0.5751362442970276
1542188124.933568,13905,0.5721983313560486
1542188130.014896,14008,0.5619829297065735
1542188182.534764,14984,0.5644784569740295
1542188196.8800435,15243,0.5616951584815979
1542188199.3392236,15294,0.5598531365394592
1542188213.6969929,15556,0.5626834034919739
1542188226.6144044,15814,0.5560463666915894
1542188231.7739787,15916,0.5699079036712646
1542188253.4136503,16328,0.5418915152549744
1542188255.9431603,16381,0.5497219562530518
1542188285.7980678,16947,0.5391525030136108
1542188311.4589624,17409,0.5531419515609741
1542188334.4232998,17820,0.5469403266906738
1542188379.330915,18636,0.5385858416557312
1542188389.5307026,18837,0.5285600423812866
1542188417.544493,19350,0.5551436543464661
1542188542.3392603,21605,0.5384107828140259
1542188545.0931625,21655,0.5154014825820923
1542188568.233851,22063,0.510089099407196
1542188593.191582,22523,0.5280246734619141
1542188598.7455947,22627,0.5307643413543701
1542188601.1521156,22678,0.528462290763855
1542188609.0884483,22837,0.516739010810852
1542188624.8299901,23143,0.5100661516189575
1542188649.0251684,23608,0.5173739790916443
1542188656.4785728,23761,0.5038541555404663
1542188658.946565,23813,0.52860426902771
1542188684.2842884,24322,0.5110954642295837
1542188731.0848453,25198,0.5138504505157471
1542188736.3609774,25300,0.509096622467041
1542188786.7357051,26277,0.5083869695663452
1542188792.0638208,26381,0.5026102662086487
1542188799.8709037,26536,0.4907156229019165
1542188822.9690542,26949,0.5127901434898376
1542188839.112853,27258,0.4971984028816223
1542188844.822989,27360,0.4958489239215851
1542188853.0017905,27515,0.5021207332611084
1542188868.7340567,27822,0.5096353888511658
1542188881.4299598,28081,0.49123531579971313
1542188907.994933,28595,0.5101163983345032
1542188923.3026078,28900,0.49554145336151123
1542188940.4673204,29209,0.4964343309402466
1542188952.9429367,29416,0.48951223492622375
1542188970.4374635,29722,0.48837485909461975
1542188976.7607517,29824,0.48833560943603516
1542188984.5452087,29976,0.4918690621852875
1542188989.6379585,30080,0.4874280095100403
1542188992.335966,30133,0.48826971650123596
1542189005.4958322,30388,0.48944661021232605
1542189007.9350202,30439,0.494002103805542
1542189032.9143498,30901,0.4793490469455719
1542189055.0904903,31313,0.4870881140232086
1542189067.9790497,31569,0.47664904594421387
1542189082.22342,31829,0.4907023310661316
1542189088.130111,31930,0.47803032398223877
1542189119.2048838,32542,0.4833006262779236
1542189139.854224,32902,0.4809185564517975
1542189143.0891633,32953,0.5001869201660156
1542189148.5912511,33056,0.4762204885482788
1542189156.6293197,33208,0.4815032184123993
1542189161.9884126,33311,0.4807261526584625
1542189195.5454183,33926,0.46479666233062744
1542189204.6861951,34078,0.4728362560272217
1542189216.005257,34280,0.4847203493118286
1542189224.611446,34433,0.4716763496398926
1542189232.163963,34586,0.4828784763813019
1542189244.5444314,34791,0.47881874442100525
1542189247.21236,34843,0.47602343559265137
1542189259.1808307,35051,0.4750767648220062
1542189271.7153766,35307,0.4849756956100464
1542189303.5656843,35872,0.47543856501579285
1542189321.7648716,36229,0.4720475375652313
1542189343.1924844,36641,0.4671301245689392
