Wall time,Step,Value
1542205077.5737169,2859,0.6651390790939331
1542205081.671821,3205,0.6616692543029785
1542205092.9203255,4157,0.6545360684394836
1542205094.2617223,4270,0.6567581295967102
1542205096.304978,4442,0.6483401656150818
1542205104.2375875,5089,0.6483145356178284
1542205114.758257,5967,0.6389603018760681
1542205116.8015838,6143,0.6389625668525696
1542205131.2508569,7344,0.6264227032661438
1542205137.342622,7842,0.6222290396690369
1542205140.301841,8089,0.6168289184570312
1542205154.617959,9284,0.6125591993331909
1542205175.135355,10999,0.5989511013031006
1542205177.1578472,11174,0.6012407541275024
1542205183.3364272,11700,0.5871846079826355
1542205191.1628284,12362,0.590785026550293
1542205194.6863422,12661,0.5975999236106873
1542205196.043466,12775,0.5871660113334656
1542205199.8322573,13097,0.592451274394989
1542205227.5396972,15428,0.5651220679283142
1542205231.1539314,15732,0.5699381828308105
1542205241.8907826,16636,0.5649056434631348
1542205246.1552517,16991,0.5688320994377136
1542205249.7664466,17288,0.5644665956497192
1542205254.709083,17714,0.5584539771080017
1542205258.9645185,18075,0.5603875517845154
1542205273.6258864,19292,0.5491610169410706
1542205284.9211283,20258,0.5326372981071472
1542205286.3535366,20381,0.5475977659225464
1542205291.831652,20850,0.5232657790184021
1542205300.3252604,21562,0.540247917175293
1542205306.581905,22094,0.5452702045440674
1542205312.2799604,22582,0.5317253470420837
1542205323.4625955,23533,0.5344865918159485
1542205326.391666,23777,0.5243424773216248
1542205364.8929474,27027,0.5237246155738831
1542205365.6037118,27088,0.5243600606918335
1542205377.9484775,28115,0.5201557874679565
1542205379.997335,28285,0.5216976404190063
1542205382.4329126,28473,0.5137795805931091
1542205392.9675229,29366,0.5041362047195435
1542205395.0470846,29544,0.5184335708618164
1542205395.754927,29604,0.5091781616210938
1542205403.1284535,30207,0.5152731537818909
1542205416.6307485,31344,0.5038114190101624
1542205431.725776,32603,0.4906514585018158
1542205443.8920352,33612,0.4947402775287628
1542205447.4798932,33907,0.5075586438179016
1542205467.0579355,35540,0.5070887207984924
1542205474.182938,36144,0.4790160655975342
1542205478.329729,36502,0.48916640877723694
1542205483.2895067,36924,0.4768468141555786
1542205483.9834054,36982,0.4844561517238617
1542205495.0595386,37893,0.48039621114730835
1542205508.2196317,39002,0.4994349181652069
1542205509.530999,39116,0.49069178104400635
1542205518.060101,39836,0.49685022234916687
1542205523.1273546,40256,0.47277510166168213
1542205524.0521233,40332,0.4898533523082733
1542205525.473467,40451,0.47150883078575134
1542205527.9577436,40655,0.47595760226249695
1542205529.4953115,40788,0.45821964740753174
1542205538.2166104,41522,0.4889605641365051
1542205545.3765504,42120,0.4869219660758972
1542205557.9316254,43165,0.4668276607990265
1542205576.148719,44697,0.4562985301017761
1542205579.1813767,44945,0.45092132687568665
1542205581.9575672,45174,0.4717629551887512
1542205587.889072,45675,0.4617112874984741
1542205594.8231156,46236,0.47312572598457336
1542205597.684529,46473,0.4597032964229584
1542205604.2176514,47017,0.46011218428611755
1542205607.0425057,47260,0.467512845993042
1542205613.5014591,47810,0.461322546005249
1542205616.1840744,48044,0.4588533639907837
1542205617.6190639,48164,0.4540213346481323
1542205618.9837916,48280,0.4507737457752228
1542205623.9350507,48698,0.45908910036087036
1542205627.4658191,48999,0.45293933153152466
1542205628.9181092,49121,0.4683232307434082
1542205632.478939,49425,0.46529847383499146
1542205633.899259,49548,0.4543814957141876
1542205636.8188148,49798,0.4637971818447113
1542205639.5983891,50036,0.4505791962146759
1542205643.9640155,50401,0.44583970308303833
1542205644.6475415,50460,0.4509817361831665
1542205661.073941,51840,0.4383580982685089
1542205663.8513298,52081,0.4589488208293915
1542205687.1379838,54051,0.4411466419696808
1542205692.0434012,54462,0.45493751764297485
1542205696.1027322,54812,0.4306170642375946
1542205706.2254322,55663,0.43044233322143555
1542205709.1189277,55900,0.45211148262023926
1542205714.4705794,56348,0.4372011125087738
1542205715.9320464,56471,0.4352596402168274
1542205720.175317,56821,0.43730926513671875
1542205721.7568698,56941,0.4378632605075836
1542205731.4334307,57760,0.43228983879089355
1542205732.09056,57811,0.4404451847076416
1542205739.0026262,58394,0.4191594421863556
1542205741.0738807,58572,0.45583704113960266
1542205747.3728104,59104,0.43920817971229553
1542205750.081058,59338,0.4336495101451874
1542205752.9365625,59574,0.4303397834300995
1542205759.1520922,60103,0.4250427484512329
1542205759.8504572,60163,0.42517298460006714
1542205764.4248114,60545,0.42873242497444153
1542205765.0793126,60602,0.42379096150398254
1542205768.7416637,60912,0.4301479756832123
1542205781.437025,61975,0.43164271116256714
1542205783.4769015,62148,0.43095269799232483
1542205789.5781078,62665,0.42470574378967285
1542205810.597885,64434,0.4194343090057373
1542205819.858172,65208,0.41290053725242615
1542205824.265759,65576,0.40535542368888855
1542205826.728823,65773,0.4104251563549042
1542205828.1409142,65892,0.4134032726287842
1542205831.1716466,66141,0.4177231788635254
1542205835.6501396,66513,0.41754522919654846
1542205839.1374729,66813,0.4021649956703186
1542205846.2840912,67416,0.4082966148853302
1542205850.485069,67765,0.40545549988746643
1542205854.1464136,68067,0.4101219177246094
1542205861.2282703,68669,0.39665377140045166
1542205890.8681731,71170,0.4130786657333374
1542205893.6163337,71407,0.40243446826934814
1542205894.284329,71465,0.4148117005825043
1542205895.2343442,71541,0.4121847450733185
1542205907.8961282,72620,0.40996015071868896
1542205917.1667418,73404,0.39656248688697815
1542205926.488033,74176,0.4079064130783081
1542205944.891254,75707,0.3859991133213043
1542205953.2522438,76406,0.3973500728607178
1542205961.6041846,77086,0.38293492794036865
1542205964.0633576,77280,0.39459407329559326
1542205966.1854846,77458,0.3859420418739319
1542205980.5130558,78669,0.3949701189994812
1542205984.9912286,79039,0.3830045759677887
1542205989.971078,79470,0.3950633406639099
1542205994.1651533,79821,0.37006711959838867
1542206005.727064,80794,0.389365553855896
1542206007.8740118,80975,0.3910728693008423
1542206015.5506907,81624,0.38829171657562256
1542206017.6036067,81802,0.3819676637649536
1542206019.7456536,81983,0.3842662274837494
1542206020.4264076,82043,0.37579894065856934
1542206054.5066552,84942,0.38380610942840576
1542206056.6182518,85121,0.3812771439552307
1542206058.6900194,85297,0.37518978118896484
1542206059.354931,85356,0.3769890069961548
1542206075.01962,86674,0.3774603307247162
1542206083.5359457,87397,0.37536755204200745
1542206084.9176073,87514,0.3719862401485443
1542206090.8019078,88009,0.39234212040901184
1542206093.6211963,88249,0.3676440715789795
1542206111.015547,89734,0.37611910700798035
1542206111.7372463,89794,0.38924989104270935
1542206119.5097091,90442,0.35199955105781555
1542206125.2678058,90931,0.3812991976737976
1542206128.1051266,91165,0.3712475001811981
1542206129.6047857,91285,0.3630676865577698
1542206152.9299579,93215,0.3777599036693573
1542206155.7339418,93451,0.3584353029727936
1542206174.2183185,94993,0.3637721836566925
1542206185.5747883,95942,0.35948461294174194
1542206186.2498417,96001,0.3611987233161926
1542206197.6064713,96941,0.3615252673625946
1542206200.4161787,97178,0.34113389253616333
1542206211.8024793,98136,0.3497934639453888
1542206212.7572656,98212,0.3446248471736908
1542206222.17977,98992,0.3478126525878906
1542206228.4928865,99528,0.34567493200302124
1542206232.057678,99824,0.37270238995552063
1542206235.5019069,100122,0.35242798924446106
1542206237.5846524,100299,0.35296428203582764
1542206241.1566403,100601,0.35918548703193665
1542206243.4015653,100780,0.34635916352272034
1542206252.0490096,101499,0.34374332427978516
1542206258.007061,102006,0.35378700494766235
1542206262.9417713,102420,0.34102338552474976
1542206268.3437843,102863,0.3501528799533844
1542206274.9694335,103408,0.34655484557151794
1542206278.027748,103660,0.3601275384426117
1542206279.3551462,103775,0.3633843958377838
1542206280.7957385,103891,0.3466162383556366
1542206283.051905,104079,0.36060699820518494
1542206287.8893692,104496,0.3362544775009155
1542206294.1119561,105022,0.3406081795692444
1542206301.263804,105617,0.3442586362361908
1542206304.0139627,105854,0.3388189971446991
1542206305.3950155,105972,0.3489173948764801
1542206307.5496154,106149,0.3510715961456299
1542206311.1348317,106455,0.336037278175354
1542206313.1770473,106631,0.3329921066761017
1542206313.9003634,106692,0.34177830815315247
1542206328.6342733,107920,0.33636677265167236
1542206334.920722,108449,0.3434907793998718
1542206339.2633548,108808,0.3386518955230713
1542206344.4417572,109241,0.32846391201019287
1542206345.0964832,109300,0.3508400619029999
1542206351.4272006,109828,0.34007528424263
1542206356.4439852,110245,0.3386126756668091
1542206371.2749507,111494,0.33208391070365906
1542206374.0818279,111732,0.34491264820098877
1542206381.4627552,112354,0.320730060338974
1542206384.181691,112589,0.32212287187576294
1542206390.3024707,113115,0.33322158455848694
1542206399.462858,113902,0.3413323163986206
1542206401.5800164,114077,0.3377859592437744
1542206405.7765892,114439,0.3545522689819336
1542206407.187501,114560,0.33483219146728516
1542206431.6194305,116620,0.32845157384872437
1542206435.9356916,116987,0.3191477656364441
1542206448.1075451,117991,0.32969534397125244
1542206455.6215081,118611,0.32414835691452026
1542206457.769241,118790,0.32017460465431213
1542206459.1084337,118905,0.32115399837493896
1542206471.9752855,119976,0.34602048993110657
1542206482.0961883,120819,0.3299380838871002
1542206483.5685833,120945,0.3208400309085846
1542206496.9298794,122063,0.3035096824169159
1542206499.8397324,122314,0.3241741955280304
1542206505.639868,122796,0.30615437030792236
1542206517.6516793,123817,0.31136488914489746
1542206521.8989491,124177,0.31455644965171814
1542206538.7990997,125590,0.32005584239959717
1542206548.3106623,126370,0.315840482711792
1542206550.4634414,126547,0.3109487295150757
1542206551.1255808,126602,0.30544450879096985
1542206552.6623015,126732,0.314700186252594
1542206554.0335352,126847,0.3225735127925873
1542206556.9573562,127092,0.30498313903808594
1542206560.3564677,127372,0.3325244188308716
1542206565.6404643,127810,0.3092879056930542
1542206576.3440695,128708,0.29690879583358765
1542206600.844153,130756,0.30222925543785095
1542206603.6473956,130997,0.29306450486183167
1542206608.637041,131422,0.3217831552028656
1542206615.3464315,131965,0.2995414435863495
1542206623.6286838,132673,0.30609405040740967
1542206630.642756,133268,0.3010029196739197
1542206632.0197847,133385,0.3016817271709442
1542206633.447455,133508,0.30716267228126526
1542206636.9259455,133805,0.2964387834072113
1542206639.1089838,133992,0.2990644574165344
1542206644.787124,134473,0.31135427951812744
1542206647.5182054,134706,0.30417105555534363
1542206661.7165194,135907,0.29107001423835754
1542206665.406713,136216,0.30020642280578613
1542206666.1164446,136275,0.29464584589004517
1542206667.5288901,136395,0.3101096749305725
1542206669.6233916,136574,0.298604279756546
1542206672.5133915,136821,0.3001057803630829
1542206673.2435482,136883,0.2983148992061615
1542206678.1530864,137290,0.3003687858581543
1542206680.2148309,137463,0.29871875047683716
1542206683.6542318,137755,0.31053626537323
1542206697.140858,138886,0.3078969717025757
1542206704.4360957,139494,0.3062240183353424
1542206709.1295576,139877,0.30050021409988403
1542206713.5733607,140248,0.2793339490890503
1542206716.3857193,140486,0.30001673102378845
1542206724.7285743,141188,0.2917979061603546
1542206725.5158565,141252,0.29640617966651917
1542206744.1403513,142823,0.2910903990268707
1542206750.4874475,143368,0.29479876160621643
1542206775.9667647,145510,0.29372233152389526
1542206776.6657867,145569,0.28216296434402466
1542206778.2010434,145700,0.29504746198654175
1542206788.2704449,146552,0.2880723178386688
1542206809.6759794,148343,0.27903586626052856
1542206815.3979168,148815,0.2837624251842499
1542206820.5276256,149240,0.2770724594593048
1542206821.952118,149356,0.28986236453056335
1542206823.3666077,149477,0.28422799706459045
1542206826.7874367,149764,0.28488653898239136
1542206844.8925376,151269,0.266774982213974
1542206845.5616803,151326,0.30620893836021423
1542206852.5337694,151918,0.27251309156417847
1542206853.9453454,152033,0.2707165777683258
1542206857.7111342,152350,0.2799195647239685
1542206867.5410228,153177,0.2810058891773224
1542206871.774494,153530,0.28910207748413086
1542206877.8576245,154053,0.2653922438621521
1542206888.403706,154954,0.284140408039093
1542206891.2377594,155196,0.27263396978378296
1542206892.845169,155330,0.27434614300727844
1542206901.903055,156108,0.27375245094299316
1542206910.2896693,156810,0.2735554575920105
1542206919.089729,157542,0.2732716202735901
1542206926.4462986,158142,0.27110904455184937
1542206930.9676437,158515,0.26989495754241943
1542206943.2061803,159531,0.2841043472290039
1542206947.4154775,159888,0.27075281739234924
1542206948.087928,159946,0.25951680541038513
1542206954.193113,160446,0.25436562299728394
1542206958.5045285,160812,0.2747577428817749
1542206962.6678255,161163,0.25836631655693054
1542206966.3391821,161476,0.28749406337738037
1542206983.0045722,162881,0.2714657783508301
1542206988.199673,163307,0.2762688100337982
1542206991.9809258,163624,0.2660333514213562
1542207000.8811722,164391,0.2718220353126526
1542207005.7243454,164803,0.2806721329689026
1542207016.8206842,165734,0.26446080207824707
1542207025.2071908,166452,0.2782418727874756
1542207027.5224771,166645,0.2733754515647888
1542207037.453786,167485,0.2642446458339691
1542207038.1709602,167545,0.2669333517551422
1542207039.5915668,167667,0.263452410697937
1542207062.8025985,169632,0.26391032338142395
1542207063.5859594,169692,0.26132720708847046
1542207064.2456439,169750,0.25771236419677734
1542207069.3744626,170175,0.26522958278656006
1542207077.6201088,170857,0.2715490460395813
1542207088.6226764,171779,0.26384422183036804
1542207092.1466792,172073,0.24606400728225708
1542207122.300111,174614,0.2509326934814453
1542207128.9552624,175150,0.24918127059936523
1542207135.3043668,175686,0.2603772282600403
1542207139.798814,176058,0.27011823654174805
1542207142.6551127,176291,0.24575041234493256
1542207154.5729468,177291,0.2501578629016876
1542207155.961611,177411,0.2707131803035736
1542207156.6224554,177470,0.2748714089393616
1542207165.2018843,178183,0.25141119956970215
1542207190.2839723,180278,0.24486158788204193
1542207196.1421459,180771,0.23578299582004547
1542207212.6161106,182148,0.25338229537010193
1542207219.1340852,182702,0.24843357503414154
1542207221.9692628,182943,0.2505679726600647
1542207224.8730204,183178,0.24795560538768768
1542207225.6088254,183238,0.23672018945217133
1542207233.4172654,183888,0.2698919475078583
1542207235.4865236,184066,0.24954204261302948
1542207241.3497558,184559,0.26447540521621704
1542207243.362361,184736,0.25553008913993835
1542207260.8720121,186202,0.2427913099527359
1542207263.6843946,186443,0.2657744884490967
1542207265.0166984,186559,0.24556559324264526
1542207275.6860836,187469,0.25383126735687256
1542207284.7460036,188235,0.24283307790756226
1542207300.7579575,189610,0.2501586377620697
1542207311.414063,190506,0.22229334712028503
1542207317.1636152,190989,0.2471207082271576
1542207320.7132006,191282,0.2293248474597931
1542207324.3258033,191577,0.2395610511302948
1542207327.2379272,191828,0.23134197294712067
1542207328.6464314,191949,0.23776625096797943
1542207340.2048962,192922,0.23768511414527893
1542207352.807875,193973,0.23886920511722565
1542207353.5290353,194033,0.23765847086906433
1542207358.7234504,194461,0.23843340575695038
1542207360.86441,194641,0.23216703534126282
1542207378.5517554,196119,0.22561967372894287
1542207380.6380055,196295,0.24976660311222076
1542207385.7257283,196731,0.24549144506454468
1542207387.794793,196909,0.24169908463954926
1542207388.4987657,196967,0.24061763286590576
1542207389.9684582,197087,0.23181863129138947
1542207390.6564724,197145,0.229590505361557
1542207408.3754296,198641,0.23686499893665314
1542207414.56608,199170,0.24174864590168
1542207432.2050207,200663,0.2316717952489853
1542207437.9262152,201135,0.2564253509044647
1542207447.7746053,201963,0.22270241379737854
1542207448.4642553,202022,0.2166750580072403
1542207452.189441,202327,0.25785380601882935
1542207461.2182233,203082,0.23202075064182281
1542207482.3279274,204819,0.22871604561805725
1542207483.6866648,204932,0.22826483845710754
1542207491.0961783,205542,0.2493312954902649
1542207502.8487997,206546,0.2378930300474167
1542207506.3055136,206835,0.23250852525234222
1542207521.9332585,208138,0.2372906506061554
1542207524.0152574,208316,0.21786251664161682
1542207527.7007375,208630,0.22505873441696167
1542207535.1896238,209259,0.21350573003292084
1542207536.6817386,209372,0.22058898210525513
1542207541.7845573,209800,0.223169207572937
1542207546.112728,210177,0.2269725203514099
1542207551.0302677,210592,0.23726849257946014
1542207555.2877636,210946,0.22409382462501526
1542207557.725099,211148,0.24543148279190063
1542207569.8574238,212162,0.2269754260778427
1542207578.6579027,212912,0.22932343184947968
1542207580.788958,213092,0.21602365374565125
1542207585.7013257,213504,0.21422627568244934
1542207597.2255957,214467,0.2191242277622223
1542207598.5655024,214582,0.2150563895702362
1542207602.9288516,214946,0.2167401909828186
1542207605.8484457,215186,0.22160451114177704
1542207617.1612866,216137,0.21483048796653748
1542207629.2915702,217163,0.22612112760543823
1542207643.592958,218357,0.2185269296169281
1542207656.5944188,219460,0.21287952363491058
1542207658.0044684,219581,0.20364698767662048
1542207659.3707073,219699,0.20158062875270844
1542207661.6173794,219888,0.21496695280075073
1542207663.8378758,220076,0.21709933876991272
1542207675.9978702,221108,0.21104204654693604
1542207683.716644,221765,0.21738575398921967
1542207694.3051393,222636,0.23595961928367615
1542207715.6993682,224447,0.19503669440746307
1542207717.0695581,224564,0.21184951066970825
1542207734.4082885,226014,0.20404766499996185
1542207737.3629496,226269,0.2116638720035553
1542207738.7616355,226387,0.19920963048934937
1542207742.9738317,226734,0.19585342705249786
1542207745.1623914,226911,0.2079145610332489
1542207746.5271752,227027,0.19490623474121094
1542207753.2280283,227573,0.19488489627838135
1542207758.1414542,227984,0.2034897357225418
1542207767.3615608,228754,0.20992711186408997
1542207773.3108854,229252,0.19535039365291595
1542207782.355233,230019,0.20581653714179993
1542207783.7444525,230137,0.2190222144126892
1542207785.7790186,230312,0.20584756135940552
1542207794.475573,231039,0.19976277649402618
1542207797.2066112,231271,0.20519456267356873
1542207800.5945723,231562,0.20506972074508667
1542207802.0473533,231689,0.20397809147834778
1542207808.9715862,232272,0.20395581424236298
1542207811.7996976,232511,0.23292404413223267
1542207832.481928,234259,0.23634420335292816
1542207836.153525,234560,0.2243991643190384
1542207841.5530212,234997,0.20189660787582397
1542207873.6644502,237683,0.24266354739665985
1542207879.1157482,238153,0.19769050180912018
1542207884.1240602,238570,0.20530372858047485
1542207886.8820417,238810,0.19526070356369019
1542207894.448222,239460,0.19962912797927856
1542207898.656411,239816,0.1925203800201416
1542207903.0550942,240175,0.20161448419094086
1542207918.4510891,241477,0.19058197736740112
1542207926.599042,242152,0.19659686088562012
1542207930.1888893,242449,0.19909381866455078
1542207936.5594296,242985,0.18585368990898132
1542207937.2833424,243044,0.19668027758598328
1542207945.878723,243767,0.21217882633209229
1542207953.5670497,244405,0.20013602077960968
1542207955.8178623,244589,0.21458494663238525
1542207963.0049784,245193,0.20299480855464935
1542207996.4129367,248005,0.18619517982006073
1542207999.9311755,248302,0.19802133738994598
1542208000.6097534,248360,0.2252025306224823
1542208007.7401943,248960,0.19483639299869537
1542208060.988432,253451,0.19428525865077972
1542208068.5298123,254097,0.20149071514606476
1542208069.239745,254154,0.19192692637443542
1542208070.7082543,254279,0.19246357679367065
1542208072.1938198,254402,0.18637344241142273
1542208074.4720764,254593,0.21977052092552185
1542208075.1536126,254654,0.18289348483085632
1542208093.1442478,256181,0.18129798769950867
1542208096.6426175,256479,0.18602925539016724
1542208098.8914185,256668,0.18079769611358643
1542208104.696346,257159,0.18978489935398102
1542208112.473251,257805,0.19442810118198395
1542208118.94062,258358,0.17943842709064484
1542208121.032792,258536,0.18132086098194122
1542208121.8098047,258595,0.18972629308700562
1542208132.8956182,259529,0.17423391342163086
1542208144.2880535,260490,0.17074044048786163
1542208148.8901463,260877,0.1698785424232483
1542208151.6432667,261111,0.1792398989200592
1542208158.385972,261680,0.16354332864284515
1542208159.7491121,261794,0.17270255088806152
1542208166.365514,262345,0.1803147792816162
1542208169.1006346,262580,0.18310023844242096
1542208173.202628,262927,0.21818213164806366
1542208176.8649018,263239,0.18886646628379822
1542208195.4324906,264811,0.18152758479118347
1542208201.6853304,265338,0.1614501029253006
1542208212.4499004,266251,0.1601056605577469
1542208217.6683729,266688,0.1687297374010086
1542208221.9408488,267047,0.17942044138908386
1542208224.6629376,267279,0.160657599568367
1542208225.352142,267336,0.16532061994075775
1542208239.0125082,268468,0.18677276372909546
1542208241.2087743,268650,0.18148566782474518
1542208245.96809,269054,0.1664217859506607
1542208267.5590649,270884,0.1646205186843872
1542208271.6401846,271237,0.18914759159088135
1542208282.116097,272131,0.16610339283943176
1542208283.5068502,272246,0.16203360259532928
1542208295.5922961,273262,0.19006213545799255
1542208296.2717028,273319,0.16957727074623108
1542208310.0053837,274460,0.19026826322078705
1542208310.7285652,274519,0.1662536859512329
1542208312.9643414,274706,0.19710738956928253
1542208319.2827702,275236,0.18661081790924072
1542208327.1887608,275903,0.16518059372901917
1542208345.0512986,277407,0.1814795583486557
1542208347.0918903,277580,0.15424099564552307
1542208354.8125849,278231,0.15429267287254333
1542208356.9891412,278412,0.20559290051460266
1542208358.5785604,278532,0.18074512481689453
1542208360.0375423,278656,0.17382586002349854
1542208368.7134054,279382,0.15823347866535187
1542208380.34141,280372,0.18659105896949768
1542208395.6870878,281667,0.15216128528118134
1542208400.6585908,282088,0.18509313464164734
1542208406.2127676,282559,0.15752029418945312
1542208409.191504,282801,0.14814279973506927
1542208414.1100693,283215,0.15738925337791443
1542208415.0017858,283278,0.17160169780254364
1542208415.6586196,283335,0.16471073031425476
1542208422.7429893,283940,0.1503855437040329
1542208441.0728946,285477,0.1487315595149994
1542208444.691707,285772,0.14587822556495667
1542208456.3284748,286739,0.14117328822612762
1542208464.3268995,287402,0.1670524775981903
1542208467.176032,287640,0.13386978209018707
1542208467.903572,287701,0.15205629169940948
1542208473.550148,288181,0.15591594576835632
1542208475.7264168,288366,0.14227861166000366
1542208477.9036942,288544,0.15119850635528564
1542208480.014601,288716,0.1578153818845749
1542208486.2623944,289246,0.15803954005241394
1542208489.0539396,289479,0.16793309152126312
1542208494.2336807,289918,0.1459079086780548
1542208495.1445048,289991,0.16614048182964325
1542208499.8783653,290362,0.1410231590270996
1542208504.1178038,290711,0.1444607675075531
1542208505.488533,290828,0.16011476516723633
1542208507.5845108,291008,0.17385177314281464
1542208532.809543,293128,0.176616832613945
1542208541.2525494,293841,0.16532669961452484
1542208554.7553308,294982,0.1686970442533493
1542208556.1271155,295101,0.13241320848464966
1542208569.4590354,296227,0.14771375060081482
1542208570.8120492,296346,0.14320935308933258
1542208585.2874064,297548,0.1353558897972107
1542208602.5608304,298973,0.149725541472435
1542208604.558845,299146,0.14405526220798492
1542208613.6068857,299906,0.2034774273633957
1542208619.4578233,300395,0.16484229266643524
1542208625.853385,300927,0.1327599287033081
1542208628.372956,301140,0.17447885870933533
1542208629.7372038,301258,0.16703729331493378
1542208630.4938471,301319,0.1458282172679901
1542208640.4688547,302156,0.1523386836051941
1542208661.3324938,303921,0.1512206792831421
1542208665.6834695,304271,0.1550784707069397
1542208667.7765741,304445,0.17293083667755127
1542208672.735052,304867,0.4312744140625
1542208682.0681133,305655,0.14736628532409668
